time,btc
2013-04-28 00:00:00,103.1862
2013-04-29 00:00:00,110.3745
2013-04-30 00:00:00,106.3128
2013-05-01 00:00:00,88.6291
2013-05-02 00:00:00,80.5923
2013-05-03 00:00:00,75.1575
2013-05-04 00:00:00,86.2273
2013-05-05 00:00:00,88.4403
2013-05-06 00:00:00,85.5829
2013-05-07 00:00:00,83.7734
2013-05-08 00:00:00,86.563
2013-05-09 00:00:00,85.7885
2013-05-10 00:00:00,90.0629
2013-05-11 00:00:00,89.0164
2013-05-12 00:00:00,88.3954
2013-05-13 00:00:00,90.8763
2013-05-14 00:00:00,85.8463
2013-05-15 00:00:00,88.2102
2013-05-16 00:00:00,91.5815
2013-05-17 00:00:00,95.8971
2013-05-18 00:00:00,96.0028
2013-05-19 00:00:00,95.3844
2013-05-20 00:00:00,94.9896
2013-05-21 00:00:00,95.4072
2013-05-22 00:00:00,95.9877
2013-05-23 00:00:00,98.11
2013-05-24 00:00:00,102.9938
2013-05-25 00:00:00,101.9565
2013-05-26 00:00:00,103.2175
2013-05-27 00:00:00,100.3132
2013-05-28 00:00:00,99.7548
2013-05-29 00:00:00,102.7794
2013-05-30 00:00:00,99.6187
2013-05-31 00:00:00,98.8856
2013-06-01 00:00:00,99.3948
2013-06-02 00:00:00,94.3005
2013-06-03 00:00:00,92.9568
2013-06-05 00:00:00,93.2043
2013-06-06 00:00:00,90.9132
2013-06-07 00:00:00,84.0138
2013-06-08 00:00:00,81.6081
2013-06-09 00:00:00,75.9808
2013-06-10 00:00:00,80.5148
2013-06-11 00:00:00,82.2838
2013-06-12 00:00:00,81.7592
2013-06-13 00:00:00,78.0
2013-06-14 00:00:00,74.8329
2013-06-15 00:00:00,74.8098
2013-06-16 00:00:00,74.8707
2013-06-17 00:00:00,76.3907
2013-06-18 00:00:00,80.3631
2013-06-19 00:00:00,80.84
2013-06-20 00:00:00,83.571
2013-06-21 00:00:00,82.8054
2013-06-22 00:00:00,82.3009
2013-06-23 00:00:00,82.1938
2013-06-24 00:00:00,77.8076
2013-06-25 00:00:00,78.7549
2013-06-26 00:00:00,79.4311
2013-06-27 00:00:00,78.1492
2013-06-28 00:00:00,72.6188
2013-06-29 00:00:00,72.9441
2013-06-30 00:00:00,74.9331
2013-07-01 00:00:00,65.0205
